Game,Performance,Drive,Emulator,Update,Notes,Device
Jujutsu Kaisen Cursed Clash,Playable,Turnip 24.3.0 9v2,Yuzu,1.2.0,Please use handheld mode if not it will crash at certain point of the game,Pocket 5
Jurassic World Evolution,Great,Turnip 23.3.0-devel,Sudachi,1.0.1,Idk,Pocket 5
Just Shapes & Beats,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Kamen Rider Memory Of Heroez,Great,Qualcomm 0.746.0,Citron,1.0,"Achieves consistent 30 fps gameplay Use 0.75 resolution with upscaling for assurance High Performance mode Throughout my gameplay, there were no game breaking graphical glitches that occured compared to using Turnip 9v2 where half of the screen turned black during cutscenes. Will test it further",Pocket 5
Kamen Rider Memory Of Heroez Premium Sound Edition,Poor,Turnip 24.3.0 9v2,Sudachi,1.0.1,Major graphical glitches making it unplayable even though it runs quite smoothly,Pocket 5
Kamen Rider Memory Of Heroez Sound Edition,Perfect,Qualcomm 0.746.0,Citron,1.0,Performance mode is sufficient runs pretty good with a steady 30fps at 0.75x Asynchronous Shaders on you must use the qualcomm driver to not have the black graphics glitch,Pocket 5
Kamibako – Mythology Of Cube,Perfect,Qualcomm 0.746.0,Citron,1.0,Citron 0.4 Some settings not necessary but this worked. Set limit speed to 200% for 60fps .75 resolution vsync mailbox disk shader cache force clocks reactive flushing cpu accuracy – unsafe,Pocket 5
Kamiko,Perfect,Qualcomm 0.746.0,Sudachi,1.0,60fps consistent,Pocket 5
Kanjozoku 2,Poor,Turnip 24.3.0 9v2,Suyu,1.0,Cant get passes loading screen docked,Pocket 5
Katamari Damacy Reroll,Perfect,Qualcomm 0.746.0,Yuzu,1.0,perfect 30 docked,Pocket 5
Katana Zero,Perfect,Turnip 24.3.0 9v2,Citron,1.0.5,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On If Audio Is Stuttering/Crackling Change Output To cubeb Everything Else Default.,Pocket 5
Katana Zero,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.5,,Pocket 5
Katrielle And The Millionaires’ Conspiracy,Great,Turnip 24.3.0 9v2,Sudachi,1.1,"Works great, about 3 hours into the game so far",Pocket 5
Kaze And The Wild Masks,Perfect,Qualcomm 0.746.0,Sudachi,🎮 Nome do Jogo: Kaze and the Wild Masks 🗓 Data de Lançamento: 26 de março de 2021 🆔️ ID do Programa: 010038B00F142000 📀 Formato de Arquivo: NSP + Update v2.5.3 + DLC,Smooth gameplay with default settings and driver! This is an awesome indie game and it feels a bunch like old DKC games!,Pocket 5
Keeper’s Toll,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Keeper’s Toll,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Kero Blaster,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Plays perfectly,Pocket 5
Kill Knight,Perfect,Qualcomm 0.746.0,Citron,1.1.0,,Pocket 5
Kill The Crows,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Perfect 60 FPS Docked. Change accuracy level to either high or extreme. If you don’t it will constantly crash.,Pocket 5
Kill The Crows,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
King Krieg Survivors,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Kingdom 2 Crowns,Perfect,Turnip 24.3.0 9v2,Sudachi,2.1.0,,Pocket 5
Kirby And The Forgotten Land,Great,Turnip 24.3.0 9v2,Citron,1.0,"Game plays beautifully for the most part, even on 1x res. The only issue is that the game sometimes crashes at the very end of a level/world; still looking for a solution for this.",Pocket 5
Kirby And The Forgotten Land,Perfect,Turnip 24.3.0 9v2,Citron,1.0,"async on, use 1x still pretty stable",Pocket 5
Kirby And The Forgotten Land,Poor,Turnip 24.3.0 9v2,Citron,1.0,"Could play only with fist 30 mins of game world 1, but world 2 and world 3 is crash city. Random crashes or when trying to change worlds or moving in through the 3 star doors",Pocket 5
Kirby And The Forgotten Land,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,"Runs between 23-30 fps, not perfect",Pocket 5
Kirby Star Allies,Great,Turnip 24.3.0 9v2,Sudachi,3.0.0,The only issues (which might be bad for epileptics) is ery bad flickering sometimes. If you can get past that you can 100% beat oid Termia and beat the game,Pocket 5
Kirby Star Allies,Great,Turnip 23.2.0,Sudachi,1.0,,Pocket 5
Kirby’s Dream Buffet,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,"30fps in-game, 60fps in menus- same as on actual hardware.",Pocket 5
Kirby’s Return To Dreamland Deluxe,Great,Turnip 24.3.0 9v2,Yuzu,1.0,40-60fps handheld mode some stutters but good experience,Pocket 5
Klonoa Phantasy Reveire Series,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60 handheld,Pocket 5
Kudzu,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
La Noire,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,Playable 30 fps but might have some fps drop during gun fight or driving,Pocket 5
Lacuna,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Legacy Of Kain Soul Reaver 1&2 Remastered,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,"(start in dock until you get through the opening animation, after that it runs great in docked",Pocket 5
Legend Of Grimrock,Perfect,Turnip 24.3.0 9v2,Citron,1.0,"Works great, but I have just played 10 minutes. Might be problems down the line, but I doubt it. Default settings.",Pocket 5
Legend Of Zelda – Links Awakening,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Legend Of Zelda – Links Awakening,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,60 fps mod v3 No DOF mod 1 x resolution High performance Dynamic CPU backend Runs near to 60fps even in overworld,Pocket 5
Legend Of Zelda – Links Awakening,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Same Mods and settings as Sudachi with the same performance in Citron.,Pocket 5
Legend Of Zelda: Breath Of The Wild,Perfect,turnip_mrpurple T19,Citron,1.6.0,The same settings as the other submissions for the game The most important setting is Force maximum clocks since it makes sure that the game doesn’t go down to 20fps and stays at 30 fps The next import thing is this driver (https://github.com/MrPurple666/purple-turnip/releases/tag/vturnip_mrpurple-T19-toasted.adpkg) by mrpurple that will fix the visual glitches in the dungeons The game runs at 1x with a few frame drops when rendering shaders,Pocket 5
Lego Builder’s Journey,Perfect,Turnip 24.3.0 9v2,Citron,1.0,,Pocket 5
Lego City Undercover,Great,Turnip 24.3.0 9v2,Yuzu,1.0.3,game does not work in sudachi due to ghraphical glitches with the screen,Pocket 5
Lego Harry Potter Collection,Great,Turnip 24.1.0 R17,Yuzu,v1.2.0,Yuzu 278 (dc529a89a) Backend CPU : JIT Force max frequencies : Yes,Pocket 5
Lego Jurassic World,Perfect,Turnip 25.2.0 R9,Yuzu,1.0,720/1080p Docked Mode,Pocket 5
Lego Marvel Superheroes,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,Won’t go over 15 even in 0.25,Pocket 5
Lego Marvel Superheroes 2,Perfect,Qualcomm 0.746.0,Yuzu,Latest,"Crashed with Turnips, but the system drivers work great. Wouldn’t launch with Sudachi.",Pocket 5
Lego Star Wars: The Skywalker Saga,Poor,Over 2 dozen drivers tested,Yuzu,1.0 or 1.10.0,"The intro crashes the game, but if you import a save which has played at least the 1st mission then you can skip it but once it reaches the menu it crashes your device or the app. I have managed to get into the game only 1 time but there were lots of visual bugs at 25 fps and it crashed 30 seconds later.",Pocket 5
Leo’s Fortune,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Leo’s Fortune,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Life Is Strange Double Exposure,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,"Won’t boot at all in yuzu, boots in sudachi with Turnip 9v2 but crashes at the ery beginning of the game",Pocket 5
Life Is Strange Remastered,Great,Turnip 24.1.0 R18,Citron,1.0.1,Use asynch shaders to help graphics stutter. CPU accuracy – Unsafe,Pocket 5
Life Is Strange: Before The Storm Remastered,Great,Qualcomm 0.746.0,Citron,1.0,Citron 0.4v – Default settings,Pocket 5
Link’s Awakening,Great,Turnip 24.3.0 9v2,Sudachi,1.0,"No Blur Mod, 60 fps Mod, dock, sync off, 0.75, force max clocks, turn off NCE",Pocket 5
"Little Kitty, Big City",Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 30fps docked 😀,Pocket 5
Little Nightmares,Poor,Turnip 24.3.0 9v2,Yuzu,1.0.2,Seemed like it was gonna work well in handheld mode but crashes when you turn on the flashlight,Pocket 5
Little Nightmares Ii,Great,Turnip 24.3.0 9v2,Citron,1.3,"Default settings, 30 FPS stable. working great so far. Citron 0.4",Pocket 5
Littlewood,Perfect,Qualcomm 0.746.0,Sudachi,1.03,,Pocket 5
Live A Live,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,NOTE: Imperial China level boss has a super that causes the game to crash no matter what I tried. Exported save and finished fight on PC ersion of emu. *some of the Debug settings may be pointless. GRAPHICS> Accuracy Level > High. GRAPHICS> Anti-aliasing method > SMAA. DEBUG > CPU Backend > Dynamic. DEBUG > CPU accuracy > Accurate.,Pocket 5
Live A Live,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.1,I kind of changed all of these one at a time and with some anecdotal knowledge. So some of the Debug settings may be pointless. GRAPHICS> Accuracy Level > High. GRAPHICS> Anti-aliasing method > FXAA. DEBUG > CPU Backend > Dynamic. DEBUG > CPU accuracy > Accurate.,Pocket 5
Live A Live,Great,Turnip 24.3.0 9v2,Yuzu,1.0,Mostly perfect 30 handheld but has some drops in battles,Pocket 5
Live A Live,Great,Turnip 24.3.0 9v2,Citron,1.0,It’s more than great I think but does have some frame drops.,Pocket 5
Llamasoft: The Jeff Minter Collection,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"It’s an emulator in an emulator, and works perfectly!",Pocket 5
Loco Motive,Perfect,Qualcomm 0.746.0,Citron,1.0,plays perfectly,Pocket 5
Lollipop Chainsaw Repro,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Lone Fungus,Poor,Qualcomm 0.746.0,Citron,1.0,"Launches into black screen. The game itself works fine, but even with other drivers (turnip 9v2 and others) and with other emulators (eden and sudachi) the black screen remains. Installing the update didn’t help either. Someone with more knowledge might be able to get it to work, since the screen being black is really the only problem; you can hear the sounds and even move around, use the menu etc. but screen is always black.",Pocket 5
Lone Ruin,Poor,Qualcomm 0.746.0,Citron,1.0,Major Graphical Issues,Pocket 5
Lonely Mountains Downhill,Great,Turnip 24.3.0 9v2,Citron,1.6,"Updated game and installed all DLC. Most Emulators and Drivers work. Reduce resolution to 75%, Accuracy Level High (very important), Force Maximum Clocks. Game plays at 60 FPS (mostly), even looks like 1080 with FSR turned on. If the game freezes, pretend like you’re switching apps, and go right back to the game. It usually works.",Pocket 5
Lonely Mountains Downhill,Poor,Turnip 25.2.0 R1,Sudachi,1.0.1,"Reduced the resolution to the lowest setting. I could select a course, the course loaded, but crashes when I start to move forward. New to this, don’t know what to try next.",Pocket 5
Lonely Mountains Downhill,Poor,Turnip 24.3.0 9v2,Citron,1.0,Crashes when loading startup menu,Pocket 5
Lost In Random,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 30fps handheld mode,Pocket 5
Lovers In A Dangerous Spacetime,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.4 (v262144),"4-player with bluetooth controllers, no issues.",Pocket 5
Luigi’s Mansion 3,Playable,Qualcomm 805,Sudachi,1.4.0,"0.75x , async off , shaders cache on Graphical glitches are common. Mirror glitch present in Yoga Mat level ,needed to see a game walkthrough to get past that. Strobing glitch after few hours of gameplay ,sometimes gets so bad need to restart the game. Few compromises but still playable to beat the game.",Pocket 5
Luigi’s Mansion 3,Great,BioSensor MK1,Citron,1.0,Perfectly playable with 0.75 resolution and can add mods like 60fps,Pocket 5
Luigi’s Mansion 3,Playable,Qualcomm 0.746.0,Citron,1.4.0,Citron 0.3 Works with some graphics issue but seems promising Accuracy level High Resolution 0.75x Force Maximum clocks,Pocket 5
Luna’s Fishing Garden,Perfect,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Lunar Remastered Collection,Great,Qualcomm 0.746.0,Sudachi,1.0,"Set audio to Cubeb. Docked. Solid framerates in Lunar 1. Lunar 2 had ery minor studders where framerates dropped to 40fps here and there, which are present in handheld mode. Played through the first dungeon in both games, no issues. I hesitate to say “perfect” but they certainly seem 100% playable at 1-2 hours in. No issues with cutscenes and no graphic glitches that I noticed.",Pocket 5
Lunar Remastered Collection,Playable,Turnip 24.3.0 R5,Sudachi,1.0.2 (v131072),"Lunar Silver Story Classic and Remastered both work perfectly; I ran around, watched FMVs, and did some battles with no issues. Lunar Eternal Blue Classic plays the FMVs without issues, but there are frame dips from 60 to 40 from the start when moving around. After the first boot it started exhibiting the issues that described next. Lunar Eternal Blue Remastered does not boot FMVs and gets stuck at the first in-game cutscene so I could not test in-game performance and is unplayable. I cannot recommend playing Lunar Eternal Blue on the RP5 at the current state with this configuration.",Pocket 5
Lysfanga – The Time Shift Warrior,Great,Qualcomm 0.746.0,Yuzu,1.0,Yuzu 278 (dc529a89a) Undocked Video precision : high Force max frequencies : yes,Pocket 5
Mahoyo: Witch On The Holy Night,Perfect,Turnip 24.3.0 9v2,Citron,1.0,,Pocket 5
Maid Of The Dead,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Worked but crashed in Sudachi every time a “lucky dip” powerup was collected,Pocket 5
Mario & Luigi: Brothership,Perfect,Turnip 24.3.0 9v2,Citron,1.0,,Pocket 5
Mario & Luigi: Brothership,Perfect,Turnip 24.1.0 R17,Citron,1.0,This will fix any glitches on second island when you first meet Luigi,Pocket 5
Mario & Luigi: Brothership,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,"1x docked, Force maximum clocks and asynchronous shaders on, RP5 HP mode, 30fps. It crashed on me once, just at the beginning of the game, but didn’t happen again.",Pocket 5
Mario & Luigi: Brothership,Playable,Turnip 24.3.0 9v2,Citron,1.0,,Pocket 5
Mario + Rabbids Kingdom Battle,Poor,Turnip 24.3.0 9v2,Sudachi,1.9.0 (+ 4 DLC),Glitch in shadows – Plays OK (variable fps) up to the second tutorial battle where game freezes. Tested multiple parameters adjustment without success,Pocket 5
Mario + Rabbids Kingdom Battle,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,Perfect 30fps handheld mode gameplay but there are graphical glitches and wrong colors during some cutscenes but gameplay is perfect. Does not work in YUZU,Pocket 5
Mario + Rabbids Sparks Of Hope,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,Gets through the intro prompts but freezes before getting to the menu,Pocket 5
Mario Golf Super Rush,Great,Turnip 24.1.0 R18,Citron,4,Played an entire round of golf no crashes. Further testing needed to erify,Pocket 5
Mario Kart 8 Deluxe,Great,Qualcomm 0.746.0,Citron,3.0.4,"NEAR perfect, I get lighting glitches with headlights and such but it’s not the worst thing ever and most courses don’t use them. I had system crashes and graphical issues with the turnip drivers i tried. I’ve gotten 3 stars on 150cc, mirror, and most of 200cc so it’s definitely stable and transitions between races well.",Pocket 5
Mario Kart 8 Deluxe,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Mario Kart 8 Deluxe,Perfect,Turnip 25.0.0 R8,Yuzu,1.0,,Pocket 5
Mario Kart 8 Deluxe,Perfect,Qualcomm adreno 819.1,Eden,3.0.4,Basically 60fps stable the whole time after caching shaders,Pocket 5
Mario Kart 8 Deluxe,Playable,turnip 25.2.0 R13,Yuzu,3.0.4,System crash after first race,Pocket 5
Mario Kart 8 Deluxe,Perfect,Qualcomm 0.746.0,Citron,3.0.4,Latest Mario Kart update gives solid 60 fps in docked mode using Qualcomm driver in Citron 0.6.1 I was able to load into a second and third race but I did not have time to complete a whole circuit.,Pocket 5
Mario Kart 8 Deluxe,Perfect,Qualcomm 0.615.77,Sudachi,3.0.4,"3.0.4 makes the game run into 64bits NCE so the performance is highly affected positively! sOLID 60FPS FULL SPEED, only occasional and quick framedrops (very close to perfection)  Sudachi (driver 0615.77) – handheld mode – 1x resoution – accuracy normal – disk shader cache > on ( I usually never disable this optioon anyways) – force maximum clock – off (I set this as the default because it fixes a lot of audio stuttering in many games without negatively affecting others) – Asynchronous Shaders – on – Audio Cubeb (i make this default since it fix lots of audio stutter in many games and don’t affect negativally in others) OBS: Turnips still crashes the device so avoid them",Pocket 5
Mario Kart 8 Deluxe,Perfect,Turnip 24.3.0 9v2,Citron,1.0,the game crashes and the console turns off,Pocket 5
Mario Kart 8 Deluxe,Great,Qualcomm 0.746.0,Yuzu,2.3.0,"0.75x resolution, Firmware 18.1.0. Turnips crash the game and so do certain firmware ersions.",Pocket 5
Mario Kart 8 Deluxe,Playable,Qualcomm 0.746.0,Yuzu,1.0,gets better over time,Pocket 5
Mario Kart 8 Deluxe,Great,Turnip 24.3.0 9v2,Yuzu,1.0,Seems to run ery similar on the top 3 emulators,Pocket 5
Mario Odyssey,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,"Runs solid 60fps, but crashes sometimes during gameplay and at the ideo sequences, if you skip them immediately you can continue",Pocket 5
Mario Odyssey,Playable,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Mario Party Superstars,Poor,Turnip 24.3.0 9v2,Sudachi,1.1.1,Crashes after choosing to start a campaign. Also crashes when going to Mt. Minigames and choosing Free Play.,Pocket 5
Mario Party Superstars,Poor,Qualcomm 0.746.0,Sudachi,1.1.1,Crashes after choosing to start a campaign. Also crashes when going to Mt. Minigames and choosing Free Play.,Pocket 5
Mario Strikers Battle League,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.2,"40FPS – 50FPS, Default settings, standard mode. Had no crashes.",Pocket 5
Mario Tennis Aces,Perfect,"Turnip – Jan. 04, 2025",Sudachi,1.0,"Graphics: 0.75x, Sync Off, FSR Sharpness: 20%",Pocket 5
Mario vs. Donkey Kong,Perfect,Turnip 24.3.0 9v2,Yuzu,Update 1.01,"Runs at 60fps, handheld",Pocket 5
Marsupilami – Hoobadventure,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.4,Console: High Performance. Asynch shaders – On. Audio – cubeb. Plays 55-60fps.,Pocket 5
Marvel Ultimate Alliance 3: The Black Order,Poor,Turnip 24.3.0 9v2,Sudachi,1.4.1,Crashes,Pocket 5
Marvel vs. Capcom Fighting Collection: Arcade Classics,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.2,,Pocket 5
Mary Skelter 2,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Master Detective Archive: Rain Code,Poor,Turnip 24.3.0 9v2,Citron,1.4.0,"It works great, almost perfect even, up until the quick time events at the end of the train, managed to muddle my way through 2 of them but it froze pretty much no matter what during those events. Tried every other emulator as well, along with system drivers and the most up to date Turnip on each emulator. No dice.",Pocket 5
Mega Man Legacy Collection 2,Perfect,default,Yuzu,1.0,,Pocket 5
Mega Man X Legacy Collection,Perfect,default,Yuzu,1.0,,Pocket 5
Mega Man X Legacy Collection 2,Perfect,default,Yuzu,1.0,,Pocket 5
Megam Man Legacy Collection,Perfect,default,Yuzu,1.0,,Pocket 5
Megaton Musashi W: Wired,Great,Qualcomm 777,Sudachi,3.2.3,"Erratum for game update ersion, also playable with YUZU latest ersion , ALWAYS USE FIRMWARE 17.1.0 since it freezes on game launch on other fw ersions",Pocket 5
Megaton Musashi W: Wired,Great,Qualcomm 777,Sudachi,1.0.1,"Sudachi ersion 6178075: Vsync FIFO ON, Reso. 0.75x, FORCE MAXIMUM CLOCKS always on to avoid crashes",Pocket 5
Metal Gear Solid – Master Collection Version,Great,Turnip 24.3.0 9v2,Yuzu,1.5.0,"Some text is invisible, but apart from that a locked 60fps in the USA ersion",Pocket 5
Metal Slug Tactics,Perfect,Qualcomm 819.1,Citron,v1.0.2,"Game DOES NOT run perfect with Turnips, locks up during assist attacks. Use Qualcomm drivers, I used 819.1 and game runs 50-60 FPS at almost all times. No crashes after 7 hours of gameplay, chipset temp running 60-65C. Runs fine on both standard and performance power modes. Settings: Undocked, Accuracy Normal, 1x Res, sync: FIFO (On), Disc Shader Cache: ON, Force max clocks: OFF (doesn’t help fps, makes chipset run hot), Use Async Shaders: ON",Pocket 5
Metal Slug Tactics,Perfect,Turnip 24.3.0 9v2,Citron,1.0.2,,Pocket 5
Metallic Child,Poor,Turnip 24.3.0 9v2,Suyu,1.0,"Doesn’t load at all, tried with several emulators",Pocket 5
Metro 2033 Redux,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,It runs at a perfect 30fps in handheld mode but has a weird screen flickering issue. Plays ery well,Pocket 5
Metroid Dread,Perfect,BioSensor MK2,Citron,2.1.0,"Docked 60fps, looks amazing on the OLED display! Couldn’t hit a solid 60fps using 9v2 unfortunately despite the other guides suggesting it Accuracy: Normal Force maximum clocks: On Asynchronous shaders: Off",Pocket 5
Metroid Dread,Perfect,Turnip 24.3.0 9v2,Citron,2.1.0,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On If The Audio Is Stuttering/Crackling Change Output To cubeb Everything Else Default.,Pocket 5
Metroid Dread,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Looks great on the RP5!,Pocket 5
Metroid Prime Remastered,Great,Turnip 24.3.0 9v2,Yuzu,1.0,Wow it runs AMAZING in docked mode! I can’t technically say perfect because there are slight dips but it is almost perfect 60dps it looks fantastic,Pocket 5
Metroid Prime Remastered,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Metroid Prime Remastered,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Mighty Morphin Power Rangers: Rita’s Rewind,Perfect,Turnip 25.2.0 R4,Citron,1.0,Local multiplayer works perfect,Pocket 5
Mighty Morphin Power Rangers: Rita’s Rewind,Perfect,Turnip 24.3.0 9v2,Sudachi,v1.0.3,,Pocket 5
Miitopia,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.3,Make sure to have BOTH Firmware and Keys installed on Emulator. You need the firmware to use and create Miis. Also turn of Disk Shader Cache.,Pocket 5
Minecraft Dungeons,Playable,Turnip 24.3.0 9v2,Yuzu,1.17.0.0 and 1.0,"Audio crackles, unplayable for me, tried Sudachi and Suyu",Pocket 5
Minecraft Legends,Great,Turnip 24.3.0 9v2,Eden,Final Update1.18.19068.0,Handheld mode 20-40 fps depending on scene. Played a few hours without issue. force adreno overclock,Pocket 5
Minecraft Story Mode – The Complete Adventure,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Framerate is perfect docked, but there is a weird thing where the textures on the character’s shirts look blurry. Does not effect gameplay.",Pocket 5
Minecraft: Nintendo Switch Edition (legacy Console),Perfect,Turnip 24.1.0 R18,Citron,1.0,"Runs at solid 60fps, no drops. All performance settings enabled with cube audio.",Pocket 5
Minecraft: Nintendo Switch Edition (Legacy Console),Great,Turnip 24.3.0 9v2,Sudachi,1.0,"Lots of audio cracking for music but no other issues. Runs at around 40-50fps on 1x resolution and 50-60fps on 0.75x resolution. If you don’t mind turning off the music, it’s ery enjoyable!",Pocket 5
Mining Mechs,Perfect,Qualcomm 0.746.0,Sudachi,1.0.2,,Pocket 5
Minit,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Mistover,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.9,,Pocket 5
Monster Boy And The Cursed Kingdom,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Monster Hunter Generations Ultimate,Perfect,Turnip 24.3.0 9v2,Citron,1.4.0 + 60 FPS Patch/Mod,Citron is back in development! 60 FPS Settings: Docked 1x Res. Turn on Force Maximum Clocks and Asynchronous Shaders Everything else default.,Pocket 5
Monster Hunter Generations Ultimate,Perfect,Turnip 24.3.0 9v2,Yuzu,1.4.0,"Runs at a solid 30fps, and solid 60fps with patch",Pocket 5
Monster Hunter Generations Ultimate,Perfect,Turnip 24.3.0 9v2,Citron,1.4.0,Solid 30fps. No crashes after 3 hours.,Pocket 5
Monster Hunter Rise,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,"No luck with qualcomm or Turnip 9v2 on Yuzu, Sudachi, Citron, or Suyu",Pocket 5
Monster Hunter Stories,Perfect,Qualcomm 0.746.0,Yuzu,"1.0.1, 1 DLC","Perfect 60fps handheld about 45fps docked, slight audio stutter during some cutscenes but not during gameplay",Pocket 5
Monster Train,Great,Turnip 24.3.0 9v2,Citron,2.0.0,"Accuracy: High , Resolution 1x, Adaptive Filter: AMD FidelityFX, AA: FXAA, Force Maximum clocks, Use Async Shaders",Pocket 5
Monster Train 2,Perfect,Qualcomm 0.746.0,Sudachi,1.1,,Pocket 5
Monster Train 2,Poor,Turnip 25.2.0 R9,Sudachi,1.1,"Instantly crashes, but works perfect with Qualcomm 0.746.0",Pocket 5
Moonlighter,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.0.10,,Pocket 5
Moonstone Island,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Running great at 60fps,Pocket 5
Moonstone Island,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.9,Locked 60 fps. Plays great!,Pocket 5
Mutazione,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,30-45fps docked but its a isual novel so it works perfectly,Pocket 5
My Sims,Perfect,Qualcomm 0.746.0,Ryujinx,1.0,http://mikahintz.de/ryujinxAndroid.zip,Pocket 5
My Sims,Poor,Turnip 24.3.0 9v2,Citron,1.1,I tried many setting sadly just met with a black screen. Would love to see if someone can get it running! Even tried the base driver. No dice.,Pocket 5
My Time At Sandrock,Great,Qualcomm 0.746.0,Yuzu,1.4.0.0,Need the update to work. Resolution 0.75 Accuracy Level : High – CPU accuracy : Accurate 20 to 30 FPS and stable so far (only 2 hours),Pocket 5
N++,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.5,,Pocket 5
Naiad,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,"Kept freezing in first scene, when tabbing out it would temporarily run.",Pocket 5
Naruto Shippuden Ultimate Ninja Storm 4 Road To Boruto,Perfect,Turnip 24.3.0 9v2,Sudachi,v1.0.15,"Not much setting is needed other then putting it in performance mode with a steady 30fps There will be a downloading data screen when it load, but for some reason Citron will not pass that screen so use Sudachi",Pocket 5
Naruto Ultimate Ninja Storm Collection,Great,Turnip 24.3.0 9v2,Sudachi,1.0,only issue seen is crackling audio. otherwise runs great,Pocket 5
Naruto X Boruto Ultimate Ninja Storm Connections,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Runs stable at 30fps. Did not play with settings since it there was no need.,Pocket 5
Nascar Heat Ultimate Edition+,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect out of the box. No setting adjustments needed.,Pocket 5
Neckbreak,Great,Turnip 24.3.0 9v2,Suyu,1.0,Runs great at 30fps docked,Pocket 5
Need For Speed Hot Pursuit Remastered,Perfect,Qualcomm 0.746.0,Suyu,1.0,"both Suyu and Citron, thank you for this spreadsheet",Pocket 5
Need For Speed Hot Pursuit Remastered,Great,Turnip 24.3.0 9v2,Sudachi,1.0.3,,Pocket 5
Needy Girl Overdose,Perfect,Turnip 24.3.0 9v2,Citron,1.1.1,Consistent 45 – 60 fps,Pocket 5
Neo: The World Ends With You,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.3,,Pocket 5
Neon Abyss,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0.6,,Pocket 5
Neon Blood,Great,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
